ImageNumber,AreaShape_Center_X,Number_Object_Number
1,878,1
1,1126,2
1,791,3
1,915,4
1,1193,5
1,1181,6
1,843,7
1,1115,8
1,414,9
1,434,10
1,704,11
1,609,12
1,1071,13
1,1080,14
1,327,15
1,339,16
1,487,17
1,500,18
1,535,19
1,556,20
1,571,21
1,1037,22
1,237,23
1,297,24
1,7,25
1,199,26
1,958,27
1,162,28
1,970,29
1,135,30
2,878,1
2,789,2
2,914,3
2,1127,4
2,1181,5
2,1193,6
2,845,7
2,414,8
2,435,9
2,1110,10
2,704,11
2,609,12
2,1060,13
2,534,14
2,1039,15
2,326,16
2,340,17
2,492,18
2,499,19
2,556,20
2,572,21
2,238,22
2,296,23
2,8,24
2,199,25
2,958,26
2,969,27
2,161,28
2,135,29
3,878,1
3,781,2
3,790,3
3,915,4
3,1125,5
3,1194,6
3,844,7
3,1180,8
3,1116,9
3,414,10
3,435,11
3,609,12
3,1099,13
3,1054,14
3,1047,15
3,534,16
3,1039,17
3,326,18
3,339,19
3,494,20
3,555,21
3,573,22
3,237,23
3,297,24
3,7,25
3,199,26
3,957,27
3,162,28
3,970,29
3,134,30
4,877,1
4,780,2
4,791,3
4,912,4
4,1126,5
4,1191,6
4,844,7
4,1181,8
4,1116,9
4,414,10
4,435,11
4,704,12
4,610,13
4,1087,14
4,325,15
4,340,16
4,487,17
4,500,18
4,534,19
4,556,20
4,574,21
4,1037,22
4,238,23
4,298,24
4,8,25
4,200,26
4,961,27
4,162,28
4,134,29
5,791,1
5,878,2
5,780,3
5,913,4
5,1128,5
5,1187,6
5,846,7
5,1116,8
5,414,9
5,435,10
5,609,11
5,1078,12
5,499,13
5,534,14
5,1039,15
5,238,16
5,326,17
5,340,18
5,489,19
5,556,20
5,574,21
5,297,22
5,1025,23
5,7,24
5,199,25
5,958,26
5,160,27
5,135,28
6,878,1
6,1128,2
6,781,3
6,791,4
6,914,5
6,1181,6
6,845,7
6,1115,8
6,414,9
6,705,10
6,610,11
6,1072,12
6,535,13
6,1039,14
6,326,15
6,340,16
6,556,17
6,575,18
6,238,19
6,297,20
6,493,21
6,23,22
6,1024,23
6,8,24
6,199,25
6,1017,26
6,957,27
6,968,28
6,160,29
6,135,30
7,791,1
7,879,2
7,780,3
7,912,4
7,1127,5
7,1181,6
7,845,7
7,1116,8
7,414,9
7,435,10
7,706,11
7,613,12
7,1064,13
7,1039,14
7,325,15
7,340,16
7,493,17
7,535,18
7,578,19
7,238,20
7,297,21
7,556,22
7,7,23
7,199,24
7,1013,25
7,957,26
7,969,27
7,159,28
7,1002,29
7,135,30
8,879,1
8,1126,2
8,780,3
8,791,4
8,914,5
8,845,6
8,1180,7
8,1116,8
8,414,9
8,706,10
8,613,11
8,1061,12
8,534,13
8,237,14
8,325,15
8,339,16
8,494,17
8,585,18
8,1037,19
8,297,20
8,556,21
8,7,22
8,199,23
8,957,24
8,970,25
8,1007,26
8,158,27
8,996,28
8,134,29
9,792,1
9,878,2
9,781,3
9,914,4
9,1126,5
9,1175,6
9,846,7
9,1116,8
9,414,9
9,435,10
9,707,11
9,614,12
9,1049,13
9,534,14
9,326,15
9,340,16
9,493,17
9,590,18
9,1037,19
9,238,20
9,297,21
9,555,22
9,7,23
9,199,24
9,154,25
9,958,26
9,970,27
9,991,28
9,1000,29
9,135,30
10,791,1
10,878,2
10,780,3
10,912,4
10,1126,5
